countryID,country
1,Australia
2,Austria
3,Brazil
4,Canada
5,China
6,Denmark
7,Egypt
8,Finland
9,France
10,Germany
11,Ghana
12,Global
13,India
14,Ireland
15,Israel
16,Japan
17,Kenya
18,Myanmar
19,Netherlands
20,Nigeria
21,Norway
22,Paraguay
23,Romania
24,Serbia
25,Singapore
26,South Africa
27,Spain
28,Sri Lanka
29,Sweden
30,Switzerland
31,Tanzania
32,UK
33,US
34,Uganda
