danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.613,0.819,11,-4.183,0,0.263,0.487,1.14e-06,0.168,0.615,78.155,audio_features,5Mbzgucwc7Hu18cNTLYTmm,spotify:track:5Mbzgucwc7Hu18cNTLYTmm,https://api.spotify.com/v1/tracks/5Mbzgucwc7Hu18cNTLYTmm,https://api.spotify.com/v1/audio-analysis/5Mbzgucwc7Hu18cNTLYTmm,240692,4
0.795,0.731,9,-6.056,1,0.0529,0.381,0.00163,0.0548,0.884,96.161,audio_features,5jkxC8SIZJ4qqusxRPVS5s,spotify:track:5jkxC8SIZJ4qqusxRPVS5s,https://api.spotify.com/v1/tracks/5jkxC8SIZJ4qqusxRPVS5s,https://api.spotify.com/v1/audio-analysis/5jkxC8SIZJ4qqusxRPVS5s,268213,4
0.749,0.849,4,-5.761,0,0.0544,0.0299,0.000168,0.115,0.959,145.169,audio_features,5uPYEStMW3KsXnnLV7iCTw,spotify:track:5uPYEStMW3KsXnnLV7iCTw,https://api.spotify.com/v1/tracks/5uPYEStMW3KsXnnLV7iCTw,https://api.spotify.com/v1/audio-analysis/5uPYEStMW3KsXnnLV7iCTw,244253,4
0.701,0.784,0,-7.212,1,0.204,0.128,0.0,0.0713,0.712,145.249,audio_features,605ZHoLZx7PtQ8fXgvN10K,spotify:track:605ZHoLZx7PtQ8fXgvN10K,https://api.spotify.com/v1/tracks/605ZHoLZx7PtQ8fXgvN10K,https://api.spotify.com/v1/audio-analysis/605ZHoLZx7PtQ8fXgvN10K,278872,4
0.826,0.49,9,-10.477,1,0.0676,0.00916,4.41e-06,0.0415,0.627,74.126,audio_features,75FYqcxt1YEAtqDLrOeIJn,spotify:track:75FYqcxt1YEAtqDLrOeIJn,https://api.spotify.com/v1/tracks/75FYqcxt1YEAtqDLrOeIJn,https://api.spotify.com/v1/audio-analysis/75FYqcxt1YEAtqDLrOeIJn,180267,4
0.929,0.463,9,-8.651,1,0.308,0.142,5.26e-06,0.0634,0.757,124.084,audio_features,7BfW1eoDh27W69nxsmRicb,spotify:track:7BfW1eoDh27W69nxsmRicb,https://api.spotify.com/v1/tracks/7BfW1eoDh27W69nxsmRicb,https://api.spotify.com/v1/audio-analysis/7BfW1eoDh27W69nxsmRicb,255840,4
0.772,0.501,10,-9.56,1,0.421,0.163,0.0,0.0725,0.771,77.882,audio_features,4hLATN2VtjiJ6jLm6V47x1,spotify:track:4hLATN2VtjiJ6jLm6V47x1,https://api.spotify.com/v1/tracks/4hLATN2VtjiJ6jLm6V47x1,https://api.spotify.com/v1/audio-analysis/4hLATN2VtjiJ6jLm6V47x1,197840,4
0.855,0.473,11,-9.846,0,0.146,0.0719,2.71e-05,0.0795,0.682,139.175,audio_features,1ATZfYmZOcm24vl5oQtPdC,spotify:track:1ATZfYmZOcm24vl5oQtPdC,https://api.spotify.com/v1/tracks/1ATZfYmZOcm24vl5oQtPdC,https://api.spotify.com/v1/audio-analysis/1ATZfYmZOcm24vl5oQtPdC,218400,4
0.916,0.72,0,-8.548,1,0.1,0.36,0.00016,0.0958,0.76,103.312,audio_features,5O4erNlJ74PIF6kGol1ZrC,spotify:track:5O4erNlJ74PIF6kGol1ZrC,https://api.spotify.com/v1/tracks/5O4erNlJ74PIF6kGol1ZrC,https://api.spotify.com/v1/audio-analysis/5O4erNlJ74PIF6kGol1ZrC,237000,4
0.776,0.439,6,-10.099,1,0.0726,0.249,0.0,0.0968,0.909,145.946,audio_features,4XAT04c10i6fUBMBYYRhyk,spotify:track:4XAT04c10i6fUBMBYYRhyk,https://api.spotify.com/v1/tracks/4XAT04c10i6fUBMBYYRhyk,https://api.spotify.com/v1/audio-analysis/4XAT04c10i6fUBMBYYRhyk,162360,4
0.626,0.428,0,-8.728,1,0.0281,0.406,4.9e-06,0.189,0.658,82.504,audio_features,5zInauocCSuC4SqBBCclAc,spotify:track:5zInauocCSuC4SqBBCclAc,https://api.spotify.com/v1/tracks/5zInauocCSuC4SqBBCclAc,https://api.spotify.com/v1/audio-analysis/5zInauocCSuC4SqBBCclAc,161333,4
0.67,0.516,10,-9.598,1,0.366,0.0673,0.0,0.0674,0.939,154.186,audio_features,6SR0dDuXH2vtgBfMLrivKV,spotify:track:6SR0dDuXH2vtgBfMLrivKV,https://api.spotify.com/v1/tracks/6SR0dDuXH2vtgBfMLrivKV,https://api.spotify.com/v1/audio-analysis/6SR0dDuXH2vtgBfMLrivKV,172933,4
0.801,0.641,8,-9.349,1,0.173,0.34,4.5e-05,0.0693,0.741,96.96,audio_features,5uBKhKWTJ4E47rcLQqu3YH,spotify:track:5uBKhKWTJ4E47rcLQqu3YH,https://api.spotify.com/v1/tracks/5uBKhKWTJ4E47rcLQqu3YH,https://api.spotify.com/v1/audio-analysis/5uBKhKWTJ4E47rcLQqu3YH,279720,4
0.891,0.399,4,-10.092,0,0.348,0.0639,1.93e-05,0.0842,0.821,133.217,audio_features,34Jqj42hsT3O3N8yihE3B6,spotify:track:34Jqj42hsT3O3N8yihE3B6,https://api.spotify.com/v1/tracks/34Jqj42hsT3O3N8yihE3B6,https://api.spotify.com/v1/audio-analysis/34Jqj42hsT3O3N8yihE3B6,253987,4
0.67,0.516,10,-9.598,1,0.366,0.0673,0.0,0.0674,0.939,154.186,audio_features,6SR0dDuXH2vtgBfMLrivKV,spotify:track:6SR0dDuXH2vtgBfMLrivKV,https://api.spotify.com/v1/tracks/6SR0dDuXH2vtgBfMLrivKV,https://api.spotify.com/v1/audio-analysis/6SR0dDuXH2vtgBfMLrivKV,172933,4
0.785,0.562,10,-7.784,0,0.0514,0.00531,9.36e-05,0.0456,0.614,129.024,audio_features,2pZJhvpin385eqAFRp3ASJ,spotify:track:2pZJhvpin385eqAFRp3ASJ,https://api.spotify.com/v1/tracks/2pZJhvpin385eqAFRp3ASJ,https://api.spotify.com/v1/audio-analysis/2pZJhvpin385eqAFRp3ASJ,298507,4
0.624,0.8,9,-9.432,0,0.0412,0.0938,0.0531,0.0862,0.647,148.054,audio_features,6pmGxFlNR3xtL1rzOMTDwk,spotify:track:6pmGxFlNR3xtL1rzOMTDwk,https://api.spotify.com/v1/tracks/6pmGxFlNR3xtL1rzOMTDwk,https://api.spotify.com/v1/audio-analysis/6pmGxFlNR3xtL1rzOMTDwk,213133,4
0.595,0.814,10,-4.516,1,0.205,0.0802,0.0,0.0898,0.637,78.489,audio_features,3nP2V8My4wM1mV6qZdF5y7,spotify:track:3nP2V8My4wM1mV6qZdF5y7,https://api.spotify.com/v1/tracks/3nP2V8My4wM1mV6qZdF5y7,https://api.spotify.com/v1/audio-analysis/3nP2V8My4wM1mV6qZdF5y7,248347,4
