danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.611,0.757,6,-3.546,1,0.03,0.00257,0.0,0.058,0.279,126.963,audio_features,3bK1zVFBKIzYjmptmI4NsJ,spotify:track:3bK1zVFBKIzYjmptmI4NsJ,https://api.spotify.com/v1/tracks/3bK1zVFBKIzYjmptmI4NsJ,https://api.spotify.com/v1/audio-analysis/3bK1zVFBKIzYjmptmI4NsJ,155905,4
0.621,0.86,6,-3.707,0,0.23,0.0139,0.0,0.409,0.374,125.828,audio_features,2OgXqA5XJcrc5duK7nF3qd,spotify:track:2OgXqA5XJcrc5duK7nF3qd,https://api.spotify.com/v1/tracks/2OgXqA5XJcrc5duK7nF3qd,https://api.spotify.com/v1/audio-analysis/2OgXqA5XJcrc5duK7nF3qd,128387,4
0.835,0.658,2,-7.949,1,0.0743,0.259,0.00725,0.0652,0.399,155.017,audio_features,07nfBlhn6ZlIkPXSXb8SXJ,spotify:track:07nfBlhn6ZlIkPXSXb8SXJ,https://api.spotify.com/v1/tracks/07nfBlhn6ZlIkPXSXb8SXJ,https://api.spotify.com/v1/audio-analysis/07nfBlhn6ZlIkPXSXb8SXJ,155071,3
0.625,0.942,1,-5.739,0,0.0396,0.193,0.693,0.16,0.459,150.001,audio_features,7zyvQ8sb72g4RuwBpcuGUP,spotify:track:7zyvQ8sb72g4RuwBpcuGUP,https://api.spotify.com/v1/tracks/7zyvQ8sb72g4RuwBpcuGUP,https://api.spotify.com/v1/audio-analysis/7zyvQ8sb72g4RuwBpcuGUP,128100,4
0.559,0.965,9,-5.022,1,0.195,0.00519,4.38e-05,0.231,0.232,74.946,audio_features,21deaXqPzYtLunigUjpZuB,spotify:track:21deaXqPzYtLunigUjpZuB,https://api.spotify.com/v1/tracks/21deaXqPzYtLunigUjpZuB,https://api.spotify.com/v1/audio-analysis/21deaXqPzYtLunigUjpZuB,130700,4
0.451,0.907,9,-5.342,1,0.171,0.000813,2.59e-06,0.356,0.211,170.152,audio_features,2SqCxbiL0ClhKZgIQxAgK0,spotify:track:2SqCxbiL0ClhKZgIQxAgK0,https://api.spotify.com/v1/tracks/2SqCxbiL0ClhKZgIQxAgK0,https://api.spotify.com/v1/audio-analysis/2SqCxbiL0ClhKZgIQxAgK0,148412,4
0.719,0.89,1,-2.621,0,0.0515,0.0139,0.00016,0.171,0.564,94.971,audio_features,3Me5bYXeDXqjBVgug53Ula,spotify:track:3Me5bYXeDXqjBVgug53Ula,https://api.spotify.com/v1/tracks/3Me5bYXeDXqjBVgug53Ula,https://api.spotify.com/v1/audio-analysis/3Me5bYXeDXqjBVgug53Ula,131388,1
0.706,0.975,10,-5.58,0,0.0651,0.0505,0.247,0.109,0.319,154.993,audio_features,7F7N0yugLFgKXoEACgtzD8,spotify:track:7F7N0yugLFgKXoEACgtzD8,https://api.spotify.com/v1/tracks/7F7N0yugLFgKXoEACgtzD8,https://api.spotify.com/v1/audio-analysis/7F7N0yugLFgKXoEACgtzD8,147895,4
0.657,0.914,0,-4.513,0,0.0523,0.0526,6.32e-06,0.109,0.502,139.989,audio_features,1CcLA0eaauck34YEIrvAAq,spotify:track:1CcLA0eaauck34YEIrvAAq,https://api.spotify.com/v1/tracks/1CcLA0eaauck34YEIrvAAq,https://api.spotify.com/v1/audio-analysis/1CcLA0eaauck34YEIrvAAq,147433,4
0.728,0.712,1,-5.598,0,0.0806,0.232,2.5e-05,0.0837,0.538,160.041,audio_features,0vwueCPNGUYtAgKWDwqONC,spotify:track:0vwueCPNGUYtAgKWDwqONC,https://api.spotify.com/v1/tracks/0vwueCPNGUYtAgKWDwqONC,https://api.spotify.com/v1/audio-analysis/0vwueCPNGUYtAgKWDwqONC,173361,4
0.643,0.711,8,-6.102,0,0.0317,0.0414,4.12e-05,0.171,0.383,125.023,audio_features,0oIlZ9KBMQnhHOw9uFAJm8,spotify:track:0oIlZ9KBMQnhHOw9uFAJm8,https://api.spotify.com/v1/tracks/0oIlZ9KBMQnhHOw9uFAJm8,https://api.spotify.com/v1/audio-analysis/0oIlZ9KBMQnhHOw9uFAJm8,152816,4
0.6,0.886,10,-2.469,1,0.0406,0.195,0.866,0.125,0.67,149.994,audio_features,4BvBTmceA5V1pDuaC3RabS,spotify:track:4BvBTmceA5V1pDuaC3RabS,https://api.spotify.com/v1/tracks/4BvBTmceA5V1pDuaC3RabS,https://api.spotify.com/v1/audio-analysis/4BvBTmceA5V1pDuaC3RabS,135400,4
0.551,0.883,5,-6.334,0,0.0798,0.00841,0.00105,0.379,0.606,169.987,audio_features,0djjZQPlvpOPNgnWTMVvli,spotify:track:0djjZQPlvpOPNgnWTMVvli,https://api.spotify.com/v1/tracks/0djjZQPlvpOPNgnWTMVvli,https://api.spotify.com/v1/audio-analysis/0djjZQPlvpOPNgnWTMVvli,163941,4
0.602,0.766,1,-3.942,1,0.0375,0.000113,0.779,0.0723,0.444,87.042,audio_features,2N8gR2yftrHbZR53U5kYnX,spotify:track:2N8gR2yftrHbZR53U5kYnX,https://api.spotify.com/v1/tracks/2N8gR2yftrHbZR53U5kYnX,https://api.spotify.com/v1/audio-analysis/2N8gR2yftrHbZR53U5kYnX,120522,4
0.544,0.946,2,-3.549,0,0.216,0.00946,0.0409,0.412,0.429,127.968,audio_features,1D53ZjgCcPlFYEryfd0c8r,spotify:track:1D53ZjgCcPlFYEryfd0c8r,https://api.spotify.com/v1/tracks/1D53ZjgCcPlFYEryfd0c8r,https://api.spotify.com/v1/audio-analysis/1D53ZjgCcPlFYEryfd0c8r,168984,4
0.67,0.957,10,-5.43,1,0.0435,0.00258,0.211,0.185,0.431,159.985,audio_features,0iB5f04XdJ2tcfhoVkeLV8,spotify:track:0iB5f04XdJ2tcfhoVkeLV8,https://api.spotify.com/v1/tracks/0iB5f04XdJ2tcfhoVkeLV8,https://api.spotify.com/v1/audio-analysis/0iB5f04XdJ2tcfhoVkeLV8,121500,4
0.51,0.691,9,-5.199,0,0.0449,0.0304,0.0,0.151,0.376,129.836,audio_features,5hT3U17QZiP74YN9xF32JG,spotify:track:5hT3U17QZiP74YN9xF32JG,https://api.spotify.com/v1/tracks/5hT3U17QZiP74YN9xF32JG,https://api.spotify.com/v1/audio-analysis/5hT3U17QZiP74YN9xF32JG,151703,4
0.634,0.824,2,-3.394,0,0.047,0.0908,0.0711,0.119,0.371,137.959,audio_features,31nfdEooLEq7dn3UMcIeB5,spotify:track:31nfdEooLEq7dn3UMcIeB5,https://api.spotify.com/v1/tracks/31nfdEooLEq7dn3UMcIeB5,https://api.spotify.com/v1/audio-analysis/31nfdEooLEq7dn3UMcIeB5,178156,4
0.582,0.942,1,-8.689,1,0.129,0.0186,0.00166,0.153,0.411,134.917,audio_features,0iFxSf5RjiybnVSjofFEBg,spotify:track:0iFxSf5RjiybnVSjofFEBg,https://api.spotify.com/v1/tracks/0iFxSf5RjiybnVSjofFEBg,https://api.spotify.com/v1/audio-analysis/0iFxSf5RjiybnVSjofFEBg,163556,4
0.803,0.857,4,-7.028,0,0.516,0.284,0.0589,0.0876,0.347,75.163,audio_features,5jPFtwxkrKbpsqFgVE1czX,spotify:track:5jPFtwxkrKbpsqFgVE1czX,https://api.spotify.com/v1/tracks/5jPFtwxkrKbpsqFgVE1czX,https://api.spotify.com/v1/audio-analysis/5jPFtwxkrKbpsqFgVE1czX,142700,4
