,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,cluster
73,0.673,0.772,-5.982,0.326,0.0486,3.25e-06,0.201,0.667,90.967,2
74,0.319,0.752,-5.607,0.183,0.524,4.71e-05,0.396,0.885,195.361,2
75,0.652,0.697,-5.76,0.0534,0.0167,0.000313,0.0727,0.432,115.992,3
76,0.748,0.668,-7.272,0.202,0.255,1.19e-06,0.145,0.924,100.584,2
77,0.663,0.386,-9.962,0.298,0.138,1.66e-06,0.397,0.497,74.907,2
78,0.74,0.758,-5.851,0.0921,0.061,1.44e-06,0.0967,0.757,171.925,3
79,0.681,0.71,-6.643,0.0574,0.155,3.02e-05,0.367,0.254,89.957,0
80,0.753,0.669,-4.914,0.104,0.0378,0.0,0.122,0.584,140.948,3
81,0.481,0.539,-7.865,0.108,0.551,0.00539,0.12,0.621,153.277,0
82,0.78,0.42,-9.218,0.1,0.0314,1.48e-05,0.118,0.0952,99.024,0
83,0.642,0.653,-4.635,0.113,0.0371,0.0,0.203,0.246,90.384,0
84,0.589,0.434,-7.531,0.113,0.305,0.0,0.25,0.657,169.983,0
85,0.698,0.846,-3.735,0.0981,0.406,0.0,0.204,0.726,103.968,3
86,0.777,0.631,-5.649,0.0612,0.183,4.4e-06,0.119,0.337,96.015,0
87,0.456,0.511,-8.685,0.0304,0.355,0.000468,0.221,0.179,80.082,0
88,0.785,0.47,-6.42,0.0329,0.137,1.12e-06,0.131,0.0569,120.006,0
89,0.831,0.2,-16.971,0.053,0.226,0.0696,0.107,0.609,127.014,0
90,0.445,0.595,-6.584,0.0558,0.034,7.71e-06,0.664,0.3,144.923,0
91,0.809,0.631,-7.099,0.0423,0.0659,0.00142,0.134,0.753,107.05,3
92,0.639,0.723,-6.462,0.0532,0.511,0.0,0.167,0.878,136.872,3
93,0.731,0.423,-10.147,0.0784,0.473,0.000413,0.129,0.78,76.964,3
94,0.385,0.443,-9.773,0.114,0.567,3.46e-06,0.115,0.302,80.05,0
95,0.704,0.563,-5.64,0.0374,0.237,0.0,0.09,0.236,102.955,0
96,0.581,0.61,-6.464,0.0585,0.168,0.0,0.0661,0.561,94.916,0
97,0.548,0.598,-8.386,0.25,0.347,3.63e-05,0.155,0.36,136.618,2
98,0.715,0.62,-6.005,0.0484,0.417,0.0,0.0822,0.172,97.95,0
